the_geom,OBJECTID,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
POINT (-73.91322139386142 40.80166362775625),23,Port Morris,2,Port,Morris,,0,Bronx
POINT (-73.89578820094466 40.815099045458254),24,Longwood,1,Longwood,,,0,Bronx
POINT (-73.88331505955298 40.809729879387135),25,Hunts Point,2,Hunts,Point,,0,Bronx
POINT (-73.90150648943066 40.82359198585537),26,Morrisania,1,Morrisania,,,0,Bronx
POINT (-73.86574609554933 40.82101219791406),27,Soundview,1,Soundview,,,0,Bronx
POINT (-73.85414416189273 40.806551120035934),28,Clason Point,2,Clason,Point,,0,Bronx
POINT (-73.8163500215845 40.815109258040096),29,Throgs Neck,1,Throgs Neck,,,0,Bronx
POINT (-73.82409926753857 40.84424593694742),30,Country Club,2,Country,Club,,0,Bronx
POINT (-73.8560031053579 40.83793782226733),31,Parkchester,1,Parkchester,,,0,Bronx
POINT (-73.8421940760445 40.840619496432744),32,Westchester Square,2,Westchester,Square,,0,Bronx
POINT (-73.86629918075617 40.84360847124722),33,Van Nest,2,Van,Nest,,0,Bronx
POINT (-73.85040178030428 40.84754906353638),34,Morris Park,1,Morris Park,,,0,Bronx
POINT (-73.88845196134812 40.85727710073898),35,Belmont,1,Belmont,,,0,Bronx
POINT (-73.917190482104 40.8813949772709),36,Spuyten Duyvil,2,Spuyten,Duyvil,,0,Bronx
POINT (-73.90453054908934 40.9085428295067),37,North Riverdale,2,North,Riverdale,,0,Bronx
POINT (-73.83207378240478 40.85064140940339),38,Pelham Bay,2,Pelham,Bay,,0,Bronx
POINT (-73.82620275994081 40.82657951686926),39,Schuylerville,1,Schuylerville,,,0,Bronx
POINT (-73.81388514428627 40.82198611816354),40,Edgewater Park,2,Edgewater,Park,,0,Bronx
POINT (-73.84802729582742 40.81901437698835),41,Castle Hill,2,Castle,Hill,,0,Bronx
POINT (-73.86332361652784 40.87137078192375),42,Olinville,1,Olinville,,,0,Bronx
POINT (-73.8416119483123 40.862965624780024),43,Pelham Gardens,2,Pelham,Gardens,,0,Bronx
POINT (-73.91558941773451 40.834283807338544),44,Concourse,1,Concourse,,,0,Bronx
POINT (-73.85053524451942 40.82977429787165),45,Unionport,1,Unionport,,,0,Bronx
POINT (-73.84808271877175 40.88456130303736),46,Edenwald,1,Edenwald,,,0,Bronx
POINT (-74.03062069353821 40.62580106501069),47,Bay Ridge,1,Bay Ridge,,,0,Brooklyn
POINT (-73.99517998380736 40.61100890202048),48,Bensonhurst,1,Bensonhurst,,,0,Brooklyn
POINT (-74.01031618527792 40.64510294925433),49,Sunset Park,2,Sunset,Park,,0,Brooklyn
POINT (-73.954240931274 40.730200984864744),50,Greenpoint,1,Greenpoint,,,0,Brooklyn
POINT (-73.97347087708452 40.59526001306597),51,Gravesend,1,Gravesend,,,0,Brooklyn
POINT (-73.96509448785343 40.576825065666085),52,Brighton Beach,2,Brighton,Beach,,0,Brooklyn
POINT (-73.94318640482987 40.58689012678388),53,Sheepshead Bay,2,Sheepshead,Bay,,0,Brooklyn
POINT (-73.95743840559946 40.61443251335102),54,Manhattan Terrace,2,Manhattan,Terrace,,0,Brooklyn
